label,mm_x,mm_y,row,col,xu,yu,image_path
P127_-11.420_-4.280,-11.42,-4.28,8,6,951.0635881612728,1082.5509402648404,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P127_-11.420_-4.280.png
P128_0.000_-4.280,0.0,-4.28,8,7,1023.9912900001885,1084.3379740151986,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P128_0.000_-4.280.png
P129_11.420_-4.280,11.42,-4.28,8,8,1097.091436037425,1085.1750701415247,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P129_11.420_-4.280.png
P130_22.840_-4.280,22.84,-4.28,8,9,1167.4281379636095,1085.4119843649457,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P130_22.840_-4.280.png
P131_34.260_-4.280,34.26,-4.28,8,10,1237.5346698540059,1085.988081412886,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P131_34.260_-4.280.png
P132_45.680_-4.280,45.68,-4.28,8,11,1305.153120126939,1085.7711906911425,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P132_45.680_-4.280.png
P133_57.100_-4.280,57.1,-4.28,8,12,1372.4821074289073,1084.5003936470614,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P133_57.100_-4.280.png
P134_68.520_-4.280,68.52,-4.28,8,13,1435.1104915259548,1084.6741434583294,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P134_68.520_-4.280.png
P135_79.940_-4.280,79.94,-4.28,8,14,1496.763622768483,1085.5435835124779,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P135_79.940_-4.280.png
P136_-79.940_-8.560,-79.94,-8.56,9,0,562.0281986448521,1129.160168567179,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P136_-79.940_-8.560.png
P137_-68.520_-8.560,-68.52,-8.56,9,1,618.0200386363966,1129.676877714352,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P137_-68.520_-8.560.png
P138_-57.100_-8.560,-57.1,-8.56,9,2,679.2041202913684,1129.9633974734484,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P138_-57.100_-8.560.png
P139_-45.680_-8.560,-45.68,-8.56,9,3,743.1531237392928,1133.3553779228862,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P139_-45.680_-8.560.png
P140_-34.260_-8.560,-34.26,-8.56,9,4,810.0814884954076,1135.3577994508096,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P140_-34.260_-8.560.png
P141_-22.840_-8.560,-22.84,-8.56,9,5,879.3442729895872,1136.9257056831013,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P141_-22.840_-8.560.png
